date,hospital
21-02-20,2
27-02-20,2
28-02-20,5
01-03-20,7
02-03-20,9
03-03-20,8
04-03-20,9
05-03-20,11
06-03-20,14
07-03-20,16
08-03-20,24
09-03-20,38
10-03-20,57
11-03-20,80
12-03-20,101
13-03-20,122
14-03-20,161
15-03-20,199
16-03-20,214
17-03-20,253
18-03-20,259
19-03-20,254
20-03-20,241
21-03-20,264
22-03-20,293
23-03-20,307
24-03-20,325
25-03-20,377
26-03-20,392
27-03-20,436
28-03-20,447
29-03-20,473
30-03-20,538
31-03-20,590
01-04-20,673
02-04-20,677
03-04-20,677
04-04-20,697
05-04-20,687
06-04-20,646
07-04-20,607
08-04-20,572
09-04-20,594
10-04-20,568
11-04-20,565
12-04-20,587
13-04-20,602
14-04-20,616
15-04-20,636
16-04-20,613
17-04-20,594
18-04-20,580
19-04-20,553
20-04-20,551
