Date,new_cases
21/02/2020,2
22/02/2020,4
23/02/2020,5
24/02/2020,5
25/02/2020,2
26/02/2020,0
27/02/2020,1
28/02/2020,3
29/02/2020,0
1/3/2020,1
2/3/2020,5
3/3/2020,3
4/3/2020,0
5/3/2020,2
6/3/2020,4
7/3/2020,4
8/3/2020,9
9/3/2020,4
10/3/2020,33
11/3/2020,20
12/3/2020,20
13/03/2020,35
14/03/2020,29
15/03/2020,38
16/03/2020,72
17/03/2020,93
18/03/2020,118
19/03/2020,136
20/03/2020,169
21/03/2020,206
22/03/2020,249
23/03/2020,348
24/03/2020,422
25/03/2020,423
26/03/2020,528
27/03/2020,434
28/03/2020,480
29/03/2020,532
30/03/2020,546
31/03/2020,729
1/4/2020,695
2/4/2020,719
3/4/2020,599
4/4/2020,429
5/4/2020,579
6/4/2020,452
7/4/2020,379
8/4/2020,338
9/4/2020,345
10/4/2020,362
11/4/2020,346
12/4/2020,558
13/04/2020,444
14/04/2020,407
15/04/2020,313
16/04/2020,302
17/04/2020,302
18/04/2020,311
19/04/2020,290
20/04/2020,303
21/04/2020,293
22/04/2020,230
23/04/2020,283
24/04/2020,242
25/04/2020,160
26/04/2020,90
27/04/2020,116
28/04/2020,167
29/04/2020,83
30/04/2020,149
1/5/2020,116
2/5/2020,57
3/5/2020,29
4/5/2020,55
5/5/2020,40
6/5/2020,66
7/5/2020,63
8/5/2020,35
9/5/2020,19
10/5/2020,30
11/5/2020,29
12/5/2020,26
13/5/2021,37
14/5/2021,15
15/5/2021,2
