cell_id,min,max,mean,std
11,0.279484071,0.413517817,0.375146504,0.060502302
21,0.284608547,0.438833904,0.392464381,0.068268525
22,0.389826694,0.502554066,0.469736384,0.050544477
23,0.393586877,0.477372427,0.452539659,0.037300016
24,0.427730023,0.505448371,0.482526778,0.034666874
29,0.358211988,0.447196135,0.420178336,0.039236302
31,0.292135732,0.436327093,0.394418062,0.064694503
32,0.369314652,0.484902283,0.449556523,0.050823648
41,0.339401326,0.467382814,0.430178354,0.057417401
42,0.291145212,0.45241794,0.404890092,0.071959032
43,0.311008854,0.484927376,0.434663854,0.078209223
44,0.275502531,0.470262046,0.412153617,0.08647485
51,0.260542306,0.414317928,0.368473136,0.068298807
61,0.270940844,0.463450191,0.406726031,0.085902245
62,0.29403375,0.455581116,0.407180958,0.071609808
71,0.371218727,0.485660726,0.451511881,0.050810869
11_betshemesh,0.222607214,0.47795134,0.398686791,0.111612425
51_bb,0.081882892,0.239501236,0.191068969,0.069172315
51_tlv,0.2539715,0.354397808,0.325618699,0.045313782
62_arab,0.444483153,0.548269793,0.510734624,0.0429264
