cell_id,mean,std,min,max
11,0.483232053,0.067095578,0.319881972,0.549787504
21,0.492608958,0.085786579,0.287927212,0.552741436
22,0.556643078,0.061517125,0.416105609,0.604200102
23,0.543929743,0.048022138,0.416787342,0.592987777
24,0.567422472,0.045745155,0.444417894,0.610798579
29,0.529355233,0.069244701,0.323407233,0.605838263
31,0.515816088,0.075185334,0.320554518,0.573490255
32,0.558714538,0.063178089,0.395881947,0.615731781
41,0.555796334,0.070395842,0.37500458,0.617167852
42,0.545389373,0.080266358,0.343552559,0.611568625
43,0.568665206,0.083852499,0.359616538,0.63677295
44,0.558246558,0.090512419,0.331170889,0.627655078
51,0.508915399,0.074906822,0.312580036,0.571396105
61,0.508732705,0.090939595,0.285775854,0.584027583
62,0.507741349,0.0735031,0.317269479,0.570457814
71,0.529839056,0.054028015,0.401894104,0.590904655
11_betshemesh,0.482713328,0.131563607,0.203650409,0.570671211
51_bb,0.287539127,0.084908244,0.111707511,0.370201681
51_tlv,0.465267093,0.05858181,0.305998207,0.51124425
62_arab,0.574938868,0.037848192,0.458632555,0.624443073
